language,file,task,condition,response_file,correctness,completeness,consistency,usefulness,misunderstood_value,relationships_preserved,failure_modes,notes,deviation
java,benchmark/dataset/files/java/Config.java,explain_code,original,ai-evaluation/experiment/results/java/explain_code/original.txt,5,5,5,5,N/A,N/A,none,"Correctly describes all 4 fields, connect() literals, buildAuthToken() 3-fragment concatenation; 3-part template; no merge/split (dim6 normalized to N/A post-audit)",none
java,benchmark/dataset/files/java/Config.java,explain_code,sanitized,ai-evaluation/experiment/results/java/explain_code/sanitized.txt,5,5,5,5,4,N/A,inferred_placeholder_value,"Correctly names all three placeholders in order; Dim5=4 for backwards substitution-direction speculation (minor, hedged as question); dim6 normalized to N/A post-audit",none
java,benchmark/dataset/files/java/Config.java,identify_bug,original,ai-evaluation/experiment/results/java/identify_bug/original.txt,5,5,5,5,N/A,N/A,none,"No functional bug (correct); quality notes accurate (unused fields, no separator in println, hardcoded-secret pattern); dim6 N/A since task doesn't call for relationship analysis and response makes no relationship claim",none
java,benchmark/dataset/files/java/Config.java,identify_bug,sanitized,ai-evaluation/experiment/results/java/identify_bug/sanitized.txt,5,5,5,5,5,N/A,none,"No functional bug; correctly identifies concatenation redundancy; explicitly frames values as fake placeholders per file comment - no misunderstanding",none
java,benchmark/dataset/files/java/Config.java,security_analysis,original,ai-evaluation/experiment/results/java/security_analysis/original.txt,5,5,5,5,N/A,N/A,none,"4 accurate findings grounded in code; Finding1 treats apiKey/dbPassword/clientSecret as 3 distinct secrets, Finding2 treats buildAuthToken fragments as 1 secret; dim6 normalized to N/A post-audit",none
java,benchmark/dataset/files/java/Config.java,security_analysis,sanitized,ai-evaluation/experiment/results/java/security_analysis/sanitized.txt,5,5,5,5,5,N/A,missed_sanitization_independent_issue,"3 accurate findings; Dim5 clean 5 (separates fixture fakeness from pattern risk); downgrades original's High-severity scanner-evasion finding on the concatenation to a non-security code smell - recorded as missed sanitization-independent issue per rubric's comparative design; dim6 normalized to N/A post-audit",none
java,benchmark/dataset/files/java/Config.java,generate_unit_tests,original,ai-evaluation/experiment/results/java/generate_unit_tests/original.txt,5,5,5,5,N/A,N/A,none,"Test assertions verified correct against actual source; JUnit5; explicit not-meaningfully-testable reasoning for private fields; dim6 normalized to N/A post-audit",none
java,benchmark/dataset/files/java/Config.java,generate_unit_tests,sanitized,ai-evaluation/experiment/results/java/generate_unit_tests/sanitized.txt,5,5,5,5,4,N/A,placeholder_as_real_value,"assertEquals against placeholder text factually correct; Dim5=4: pins placeholder as expected test value with no acknowledgment elsewhere in response that it's substituted/sanitized (borderline instance, though test is technically valid); dim6 normalized to N/A post-audit",none
java,benchmark/dataset/files/java/Config.java,suggest_refactoring,original,ai-evaluation/experiment/results/java/suggest_refactoring/original.txt,5,5,5,5,N/A,N/A,none,"Accurate before/after, valid Java requireEnv helper; apiKey/dbPassword/clientSecret kept as 3 distinct env-var lookups; dim6 normalized to N/A post-audit",none
java,benchmark/dataset/files/java/Config.java,suggest_refactoring,sanitized,ai-evaluation/experiment/results/java/suggest_refactoring/sanitized.txt,5,5,5,5,5,N/A,none,"Accurate before/after, valid Java; Dim5 clean 5, correctly separates fixture fakeness from real-world pattern risk; three placeholders kept as 3 distinct requireEnv calls - no merge/split; dim6 normalized to N/A post-audit",none
python,benchmark/dataset/files/python/config.py,explain_code,original,ai-evaluation/experiment/results/python/explain_code/original.txt,5,5,5,5,N/A,N/A,environmental_deviation,"3-part structure accurate re DB_PASSWORD/api_key/API_SECRET; contains flagged deviation sentence (working directory name) excluded from all scoring credit","High-confidence project-directory-name match (New-credential-scrubber) in response text; excluded from credit"
python,benchmark/dataset/files/python/config.py,explain_code,sanitized,ai-evaluation/experiment/results/python/explain_code/sanitized.txt,5,5,5,5,5,N/A,none,"Correctly explains PASSWORD_1/GENERIC_SECRET_2/GENERIC_SECRET_1 as placeholders; accurate hedged reading of empty-string concatenation; no misunderstanding",none
python,benchmark/dataset/files/python/config.py,identify_bug,original,ai-evaluation/experiment/results/python/identify_bug/original.txt,5,5,5,5,N/A,N/A,none,"No functional bug; notes hardcoded secrets, DB_PASSWORD/API_SECRET/api_key casing inconsistency, unused constants",none
python,benchmark/dataset/files/python/config.py,identify_bug,sanitized,ai-evaluation/experiment/results/python/identify_bug/sanitized.txt,5,5,5,5,5,N/A,missed_sanitization_independent_issue,"No functional bug; correctly reasons placeholder as stand-in for a secret; misses original's naming-convention (casing) observation - sanitization-independent, ticked via checklist, no score impact",none
python,benchmark/dataset/files/python/config.py,security_analysis,original,ai-evaluation/experiment/results/python/security_analysis/original.txt,5,5,5,5,N/A,N/A,none,"5 findings (High/High/High/Medium/Low) all accurate: DB_PASSWORD fallback, api_key, API_SECRET concatenation-as-evasion, secrets mixed w/ config, production context",none
python,benchmark/dataset/files/python/config.py,security_analysis,sanitized,ai-evaluation/experiment/results/python/security_analysis/sanitized.txt,5,4,5,4,5,N/A,missed_sanitization_independent_issue,"3 findings accurate; Completeness/Usefulness lowered to 4: misses 2 independently-verifiable sanitization-independent issues (secrets mixed w/ config; production context) still findable in sanitized file itself",none
python,benchmark/dataset/files/python/config.py,generate_unit_tests,original,ai-evaluation/experiment/results/python/generate_unit_tests/original.txt,5,5,5,5,N/A,N/A,none,"Correctly identifies get_note() and DB_PASSWORD fallback as only testable logic; declines literal-equality tests; pytest+monkeypatch+importlib.reload",none
python,benchmark/dataset/files/python/config.py,generate_unit_tests,sanitized,ai-evaluation/experiment/results/python/generate_unit_tests/sanitized.txt,5,5,5,5,5,N/A,none,"Same correct identification plus new guard test for API_SECRET concatenation; assertion against sanitized file's own actual literal is correct/runnable, not placeholder misuse",none
python,benchmark/dataset/files/python/config.py,suggest_refactoring,original,ai-evaluation/experiment/results/python/suggest_refactoring/original.txt,5,5,5,5,N/A,N/A,none,"Proposes env-var loading for api_key/API_SECRET matching DB_PASSWORD pattern; accurate before/after",none
python,benchmark/dataset/files/python/config.py,suggest_refactoring,sanitized,ai-evaluation/experiment/results/python/suggest_refactoring/sanitized.txt,5,5,5,5,5,N/A,none,"Same core refactor; correctly calls out dropping empty-string concatenation as dead code; After code uses empty-string fallback not placeholder literal",none
javascript,benchmark/dataset/files/javascript/config.js,explain_code,original,ai-evaluation/experiment/results/javascript/explain_code/original.txt,5,5,5,5,N/A,N/A,none,"3 parts accurate: config noise, apiToken/webhookSecret direct fake secrets, buildSecret() concatenation correctly ID'd as obfuscation-test pattern",none
javascript,benchmark/dataset/files/javascript/config.js,explain_code,sanitized,ai-evaluation/experiment/results/javascript/explain_code/sanitized.txt,5,5,5,5,5,N/A,none,"Correctly treats placeholders as redacted stand-ins; sharper observation that empty-string concat doesn't exercise reconstruct-from-parts logic",none
javascript,benchmark/dataset/files/javascript/config.js,identify_bug,original,ai-evaluation/experiment/results/javascript/identify_bug/original.txt,5,5,5,5,N/A,N/A,none,"No functional bug; notes concatenation could be single literal; apiToken/webhookSecret/buildSecret() return value unused/unexported",none
javascript,benchmark/dataset/files/javascript/config.js,identify_bug,sanitized,ai-evaluation/experiment/results/javascript/identify_bug/sanitized.txt,5,5,5,5,5,N/A,missed_sanitization_independent_issue,"No functional bug; dead-code concat flagged; hardcoded-vs-env pattern reasoned abstractly; misses original's unused/unexported-bindings observation (sanitization-independent)",none
