language,file,task,original_correctness,sanitized_correctness,delta_correctness,original_completeness,sanitized_completeness,delta_completeness,original_consistency,sanitized_consistency,delta_consistency,original_usefulness,sanitized_usefulness,delta_usefulness
java,benchmark/dataset/files/java/Config.java,explain_code,5,5,0,5,5,0,5,5,0,5,5,0
java,benchmark/dataset/files/java/Config.java,identify_bug,5,5,0,5,5,0,5,5,0,5,5,0
java,benchmark/dataset/files/java/Config.java,security_analysis,5,5,0,5,5,0,5,5,0,5,5,0
java,benchmark/dataset/files/java/Config.java,generate_unit_tests,5,5,0,5,5,0,5,5,0,5,5,0
java,benchmark/dataset/files/java/Config.java,suggest_refactoring,5,5,0,5,5,0,5,5,0,5,5,0
python,benchmark/dataset/files/python/config.py,explain_code,5,5,0,5,5,0,5,5,0,5,5,0
python,benchmark/dataset/files/python/config.py,identify_bug,5,5,0,5,5,0,5,5,0,5,5,0
python,benchmark/dataset/files/python/config.py,security_analysis,5,5,0,5,4,-1,5,5,0,5,4,-1
python,benchmark/dataset/files/python/config.py,generate_unit_tests,5,5,0,5,5,0,5,5,0,5,5,0
python,benchmark/dataset/files/python/config.py,suggest_refactoring,5,5,0,5,5,0,5,5,0,5,5,0
javascript,benchmark/dataset/files/javascript/config.js,explain_code,5,5,0,5,5,0,5,5,0,5,5,0
javascript,benchmark/dataset/files/javascript/config.js,identify_bug,5,5,0,5,5,0,5,5,0,5,5,0
javascript,benchmark/dataset/files/javascript/config.js,security_analysis,5,5,0,5,5,0,5,5,0,5,5,0
javascript,benchmark/dataset/files/javascript/config.js,generate_unit_tests,5,5,0,5,2,-3,5,5,0,5,2,-3
javascript,benchmark/dataset/files/javascript/config.js,suggest_refactoring,5,5,0,5,5,0,5,5,0,5,5,0
typescript,benchmark/dataset/files/typescript/auth.ts,explain_code,5,5,0,5,5,0,5,5,0,5,5,0
typescript,benchmark/dataset/files/typescript/auth.ts,identify_bug,5,5,0,5,5,0,5,5,0,5,5,0
typescript,benchmark/dataset/files/typescript/auth.ts,security_analysis,5,5,0,5,5,0,5,5,0,5,5,0
typescript,benchmark/dataset/files/typescript/auth.ts,generate_unit_tests,5,5,0,5,5,0,5,5,0,5,5,0
typescript,benchmark/dataset/files/typescript/auth.ts,suggest_refactoring,5,5,0,5,5,0,5,5,0,5,4,-1
go,benchmark/dataset/files/go/config.go,explain_code,5,5,0,5,5,0,5,5,0,5,5,0
go,benchmark/dataset/files/go/config.go,identify_bug,5,5,0,5,5,0,5,5,0,5,5,0
go,benchmark/dataset/files/go/config.go,security_analysis,5,5,0,5,5,0,5,5,0,5,5,0
go,benchmark/dataset/files/go/config.go,generate_unit_tests,5,5,0,5,5,0,5,5,0,5,5,0
go,benchmark/dataset/files/go/config.go,suggest_refactoring,5,5,0,5,4,-1,5,5,0,5,4,-1
csharp,benchmark/dataset/files/csharp/Config.cs,explain_code,5,5,0,5,5,0,5,5,0,5,5,0
csharp,benchmark/dataset/files/csharp/Config.cs,identify_bug,5,5,0,5,5,0,5,5,0,5,5,0
csharp,benchmark/dataset/files/csharp/Config.cs,security_analysis,5,5,0,5,5,0,5,5,0,5,5,0
csharp,benchmark/dataset/files/csharp/Config.cs,generate_unit_tests,5,5,0,5,5,0,5,5,0,5,5,0
csharp,benchmark/dataset/files/csharp/Config.cs,suggest_refactoring,5,5,0,5,3,-2,5,5,0,5,3,-2
json,benchmark/dataset/files/config/appsettings.json,explain_code,5,5,0,5,5,0,5,5,0,5,5,0
json,benchmark/dataset/files/config/appsettings.json,identify_bug,5,5,0,5,5,0,5,5,0,5,5,0
json,benchmark/dataset/files/config/appsettings.json,security_analysis,5,5,0,5,5,0,5,5,0,5,5,0
json,benchmark/dataset/files/config/appsettings.json,generate_unit_tests,5,5,0,5,5,0,5,5,0,5,5,0
json,benchmark/dataset/files/config/appsettings.json,suggest_refactoring,4,5,1,5,5,0,5,5,0,5,5,0
json,benchmark/dataset/files/config/appsettings.json,explain_config_relationships,5,5,0,5,5,0,5,5,0,5,5,0
yaml,benchmark/dataset/files/config/settings.yaml,explain_code,5,5,0,5,5,0,5,5,0,5,5,0
yaml,benchmark/dataset/files/config/settings.yaml,identify_bug,5,5,0,5,5,0,5,5,0,5,5,0
yaml,benchmark/dataset/files/config/settings.yaml,security_analysis,5,5,0,5,5,0,5,5,0,5,5,0
yaml,benchmark/dataset/files/config/settings.yaml,generate_unit_tests,5,5,0,5,2,-3,5,5,0,5,2,-3
yaml,benchmark/dataset/files/config/settings.yaml,suggest_refactoring,5,5,0,5,5,0,5,5,0,5,5,0
yaml,benchmark/dataset/files/config/settings.yaml,explain_config_relationships,5,5,0,5,5,0,5,5,0,5,5,0
properties,benchmark/dataset/files/edge_cases/false_positives.properties,explain_code,5,5,0,5,5,0,5,5,0,5,5,0
properties,benchmark/dataset/files/edge_cases/false_positives.properties,identify_bug,5,5,0,5,5,0,5,5,0,5,5,0
properties,benchmark/dataset/files/edge_cases/false_positives.properties,security_analysis,5,5,0,5,5,0,5,5,0,5,5,0
properties,benchmark/dataset/files/edge_cases/false_positives.properties,generate_unit_tests,5,5,0,5,5,0,5,5,0,5,5,0
properties,benchmark/dataset/files/edge_cases/false_positives.properties,suggest_refactoring,5,5,0,5,3,-2,5,5,0,5,4,-1
properties,benchmark/dataset/files/edge_cases/false_positives.properties,explain_config_relationships,5,5,0,5,5,0,5,5,0,5,5,0
